"","groupName","activeTouch","timeStamp","C"
"159","A",0,"6/3/16 13:38",0
"160","B",0,"6/3/16 13:39",0
"161","A",0,"6/3/16 13:41",0
"162","A",0,"6/3/16 13:44",0
"163","B",0,"6/3/16 13:53",0
"164","A",0,"6/3/16 13:59",0
"165","A",0,"6/3/16 14:15",0
"166","B",1,"6/3/16 14:15",1
"167","A",0,"6/3/16 14:29",0
"168","A",0,"6/3/16 14:35",0
"169","B",0,"6/3/16 14:37",0
"170","B",0,"6/3/16 14:47",0
"171","B",0,"6/3/16 15:00",0
"172","A",0,"6/3/16 15:04",1
"173","B",0,"6/3/16 15:07",0
"174","B",0,"6/3/16 15:21",0
"175","A",0,"6/3/16 15:29",0
"176","A",0,"6/3/16 15:29",0
"177","A",0,"6/3/16 15:32",0
"178","B",0,"6/3/16 15:41",0
"179","B",0,"6/3/16 16:00",0
"180","B",1,"6/3/16 16:19",0
"181","B",0,"6/3/16 16:20",1
"182","A",0,"6/3/16 16:28",0
"183","B",0,"6/3/16 16:32",0
"184","A",0,"6/3/16 16:33",0
"185","A",0,"6/3/16 16:34",0
"186","A",0,"6/3/16 16:45",0
"187","B",0,"6/3/16 16:46",0
"188","B",0,"6/3/16 16:50",0
"189","B",0,"6/3/16 17:01",0
"190","B",0,"6/3/16 17:01",0
"191","B",1,"6/3/16 17:04",0
"192","A",0,"6/3/16 17:08",0
"193","B",0,"6/3/16 17:09",0
"194","A",0,"6/3/16 17:10",0
"195","B",0,"6/3/16 17:10",0
"196","A",0,"6/3/16 17:13",0
"197","A",0,"6/3/16 17:19",1
"198","B",0,"6/3/16 17:23",0
"199","B",0,"6/3/16 17:26",0
"200","B",0,"6/3/16 17:29",0
"201","A",0,"6/3/16 17:45",0
"202","B",0,"6/3/16 18:07",0
"203","A",0,"6/3/16 18:12",0
"204","B",0,"6/3/16 18:21",0
"205","A",0,"6/3/16 18:28",0
"206","A",0,"6/3/16 18:29",0
"207","B",0,"6/3/16 18:35",1
"208","A",0,"6/3/16 18:40",0
"209","A",0,"6/3/16 18:43",0
"210","B",0,"6/3/16 18:49",0
"211","B",0,"6/3/16 18:50",0
"212","A",0,"6/3/16 18:51",0
"213","A",0,"6/3/16 19:00",0
"214","B",0,"6/3/16 19:18",0
"215","B",0,"6/3/16 19:22",0
"216","A",0,"6/3/16 19:24",0
"217","B",0,"6/3/16 19:25",0
"218","B",0,"6/3/16 19:29",0
