"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
395084,2019-02-28,"Seneca Falls, NY","NY",685,111800,0.00902527075812274,0.0247479376718607,0.0843840931134821,0.0348518494334638,0.0258701451068022,"2019-02","2019-Q1",111800,0,"2019-02"
394417,2019-02-28,"Brookhaven, MS","MS",686,119200,0.017933390264731,0.0249355116079106,-0.0197368421052632,0.0427254084279762,0.0208230131790934,"2018-04","2018-Q2",123800,-0.037156704361874,"2017-02"
394335,2019-02-28,"Arcadia, FL","FL",687,125400,0.00642054574638844,0.027027027027027,0.154696132596685,0.0946087842231575,0.0277202554734961,"2006-09","2006-Q3",158900,-0.210824417872876,"2005-07"
395150,2019-02-28,"Taylorville, IL","IL",688,77300,-0.0038659793814433,-0.00770218228498075,-0.0276729559748428,0.0299371701579829,0.00797121089853681,"2017-12","2017-Q4",80500,-0.0397515527950311,"2017-09"
394525,2019-02-28,"Decatur, IN","IN",689,126800,0.00475435816164818,0.012779552715655,0.0610878661087866,0.0463419070275946,0.0221026327536644,"2019-02","2019-Q1",126800,0,"2019-02"
753894,2019-02-28,"Junction City, KS","KS",690,132600,0.00151057401812689,0.00454545454545455,0.0408163265306122,0.0168028121784207,0.00213650643243701,"2019-02","2019-Q1",132600,0,"2019-02"
394557,2019-02-28,"Effingham, IL","IL",691,128500,0.00312256049960968,0.011014948859166,0.0062646828504307,0.0313905828314778,,"2019-02","2019-Q1",128500,0,"2019-02"
394331,2019-02-28,"Angola, IN","IN",692,162000,0.00309597523219814,0.0144020037570445,0.10655737704918,0.0643539227087495,0.0268438079772213,"2019-02","2019-Q1",162000,0,"2019-02"
394536,2019-02-28,"Dodge City, KS","KS",693,109100,-0.00274223034734918,-0.0153429602888087,0.0205799812909261,0.0494669970692703,,"2018-08","2018-Q3",118200,-0.0769881556683587,"2018-03"
394413,2019-02-28,"Brenham, TX","TX",694,187800,0.0016,0.0145867098865478,0.0245499181669394,0.057950011293981,0.0358864819421565,"2019-02","2019-Q1",187800,0,"2019-02"
394569,2019-02-28,"Emporia, KS","KS",695,95300,0.00105042016806723,0.0170757737459979,0.0891428571428571,0.0300165825958871,0.00529251043931822,"2007-05","2007-Q2",96700,-0.0144777662874871,"2007-01"
394613,2019-02-28,"Frankfort, IN","IN",696,104100,0.00192492781520693,0.0166015625,0.138949671772429,0.0672018705404984,0.0140986744258222,"2019-02","2019-Q1",104100,0,"2019-02"
394414,2019-02-28,"Brevard, NC","NC",697,219500,0.000911992704058368,0.0115207373271889,0.046234509056244,0.0523156813420689,0.016807829105886,"2019-02","2019-Q1",219500,0,"2019-02"
395165,2019-02-28,"Troy, AL","AL",698,127600,-0.000783085356303837,-0.00234558248631744,0.0232558139534884,-0.00600320446780245,0.0077668716454351,"2014-02","2014-Q1",131500,-0.0296577946768061,"2013-12"
395196,2019-02-28,"Wabash, IN","IN",699,104500,0.00191754554170662,0.0106382978723404,0.0784313725490196,0.0438972251580798,0.0157290585355463,"2019-02","2019-Q1",104500,0,"2019-02"
394433,2019-02-28,"Cambridge, MD","MD",700,143800,-0.00553250345781466,-0.00484429065743945,0.0345323741007194,0.0222770348430561,-0.00949826480207872,"2006-06","2006-Q2",191700,-0.249869587897757,"2004-10"
394812,2019-02-28,"Macomb, IL","IL",701,69200,0,0.00435413642960813,0.0131771595900439,0.00409609971386837,,"2015-04","2015-Q2",71600,-0.0335195530726257,"2015-01"
395187,2019-02-28,"Vernal, UT","UT",702,271900,0.00815721171672228,-0.00183553597650514,0.0637715179968701,0.0820550307662642,0.0414180518426788,"2018-10","2018-Q4",273700,-0.00657654366094264,"2018-10"
394749,2019-02-28,"Kingsville, TX","TX",703,112400,-0.000888888888888889,0.0062667860340197,0.0181159420289855,0.0567285863698344,0.0347178785701752,"2019-01","2019-Q1",112500,-0.000888888888888889,"2019-01"
394815,2019-02-28,"Madison, IN","IN",704,129900,-0.000769230769230769,0.00541795665634675,0.215154349859682,0.0977167938131167,0.0423466772769681,"2019-01","2019-Q1",130000,-0.000769230769230769,"2019-01"
394886,2019-02-28,"Mount Pleasant, TX","TX",705,120200,-0.0033167495854063,0.000832639467110741,0.0599647266313933,0.0506251071602202,0.0301614663704222,"2019-01","2019-Q1",120600,-0.0033167495854063,"2018-12"
394962,2019-02-28,"Paris, TN","TN",706,94000,0,0.00427350427350427,0.0981308411214953,0.047597169101036,0.0231106974117103,"2018-12","2018-Q4",94100,-0.00106269925611052,"2018-12"
394491,2019-02-28,"Columbus, NE","NE",707,162800,0,0.0143302180685358,0.0710526315789474,0.0703213608713451,0.0621299851671855,"2019-02","2019-Q1",162800,0,"2019-02"
394376,2019-02-28,"Beeville, TX","TX",708,120600,0.00166112956810631,0.0151515151515152,0.0806451612903226,0.0791554769728382,0.0550043751482558,"2019-02","2019-Q1",120600,0,"2019-02"
394855,2019-02-28,"Miami, OK","OK",709,63500,-0.00157232704402516,-0.0078125,0.016,0.0325599880888492,0.00485138412750197,"2018-10","2018-Q4",64200,-0.0109034267912773,"2018-08"
753878,2019-02-28,"Dayton, TN","TN",710,118000,0.0111396743787489,0.0378188214599824,0.102803738317757,0.0566102016795533,0.0286063476281393,"2019-02","2019-Q1",118000,0,"2019-02"
394713,2019-02-28,"Jackson, WY","WY",711,593800,-0.000504965494024575,-0.000504965494024575,0.0635858857245209,0.0369417795801916,0.0142213032388319,"2019-01","2019-Q1",594100,-0.000504965494024575,"2018-12"
394730,2019-02-28,"Juneau, AK","AK",712,381600,-0.00104712041884817,-0.00469483568075117,-0.00754226267880364,0.0260845970683439,0.0214928233210072,"2018-09","2018-Q3",386400,-0.0124223602484472,"2018-01"
394310,2019-02-28,"Albert Lea, MN","MN",713,109600,0,0.0214352283317801,0.120654396728016,0.0279250187415627,,"2019-02","2019-Q1",109600,0,"2019-02"
394786,2019-02-28,"Lewisburg, TN","TN",714,143900,0.00348675034867504,0.0169611307420495,0.0612094395280236,0.103105314965958,0.0481661016088304,"2019-02","2019-Q1",143900,0,"2019-02"
394795,2019-02-28,"Lincoln, IL","IL",715,81800,-0.0024390243902439,-0.0024390243902439,0.0212234706616729,0.0238675492480014,0.00778001658450189,"2005-11","2005-Q4",94600,-0.135306553911205,"2005-01"
394751,2019-02-28,"Kirksville, MO","MO",716,116400,-0.00597779675491033,-0.0025706940874036,0.192622950819672,0.114152546637132,0.00243786968455195,"2008-07","2008-Q3",163300,-0.287201469687691,
394320,2019-02-28,"Alpena, MI","MI",717,81800,-0.0048661800486618,-0.0048661800486618,0.0487179487179487,0.0542867100272464,0.0213851314200624,"2018-12","2018-Q4",82400,-0.00728155339805825,"2018-11"
395100,2019-02-28,"Silver City, NM","NM",718,128000,0,0.00392156862745098,0.0622406639004149,,,"2018-12","2018-Q4",128100,-0.00078064012490242,"2018-12"
394846,2019-02-28,"McPherson, KS","KS",719,141800,0.00141242937853107,0.00710227272727273,0.0511489992587102,0.0397311966242251,0.0146554117706976,"2019-02","2019-Q1",141800,0,"2019-02"
395093,2019-02-28,"Sheridan, WY","WY",720,248300,0.00323232323232323,0.0151267375306623,0.0684165232358003,0.0356566567731909,,"2019-02","2019-Q1",248300,0,"2019-02"
395206,2019-02-28,"Washington Court House, OH","OH",721,112700,0.00088809946714032,0.01806684733514,0.104901960784314,0.0577885731174943,0.0141778529253256,"2019-02","2019-Q1",112700,0,"2019-02"
395185,2019-02-28,"Van Wert, OH","OH",722,104100,-0.0066793893129771,-0.00382775119617225,0.0676923076923077,0.0567316805162319,0.0252811846422183,"2018-12","2018-Q4",105000,-0.00857142857142857,"2018-11"
394853,2019-02-28,"Merrill, WI","WI",723,130100,0.00385802469135802,0.0116640746500778,0.0491935483870968,0.0576567751393866,0.028111076628587,"2019-02","2019-Q1",130100,0,"2019-02"
753901,2019-02-28,"Ludington, MI","MI",724,112300,-0.00354924578527063,0.00267857142857143,0.0634469696969697,0.0587842246938812,0.0310682760463155,"2019-01","2019-Q1",112700,-0.00354924578527063,"2018-12"
394921,2019-02-28,"North Vernon, IN","IN",725,116200,-0.00171821305841924,0.00606060606060606,0.108778625954198,0.0581333543423446,0.0227413502667224,"2019-01","2019-Q1",116400,-0.00171821305841924,"2019-01"
394673,2019-02-28,"Hays, KS","KS",726,167300,-0.00771055753262159,-0.0170387779083431,0.00299760191846523,0.0347974877085575,,"2018-09","2018-Q3",170500,-0.0187683284457478,"2018-05"
394864,2019-02-28,"Mineral Wells, TX","TX",727,115900,0,0.00782608695652174,0.0574817518248175,0.0445602732707053,0.024594346675733,"2019-02","2019-Q1",115900,0,"2019-02"
394364,2019-02-28,"Bastrop, LA","LA",728,82200,-0.00484261501210654,0.00121802679658952,0.0326633165829146,0.0294385875908243,0.0143275670853042,"2019-01","2019-Q1",82600,-0.00484261501210654,"2019-01"
394356,2019-02-28,"Bainbridge, GA","GA",729,105700,-0.00470809792843691,-0.00470809792843691,0.0796731358529111,0.0544131817534719,0.00718207717022912,"2018-12","2018-Q4",106600,-0.00844277673545966,"2018-11"
753884,2019-02-28,"Hailey, ID","ID",730,401100,0,0.00880281690140845,0.12573673870334,0.0421425246117058,-0.00368869410978578,"2006-12","2006-Q4",476000,-0.157352941176471,"2005-08"
