Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated crime in Missouri

,,National or state crime,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
2010,   5995715,      27440,         420,       1445,,       6185,      19390,     200858,      44197,     140526,      16135,         457.7,           7.0,          24.1,,         103.2,         323.4,       3350.0,         737.1,       2343.8,         269.1 
2011,   6008984,      26888,         366,       1469,,       6275,      18778,     199085,      44875,     138879,      15331,         447.5,           6.1,          24.4,,         104.4,         312.5,       3313.1,         746.8,       2311.2,         255.1 
2012,   6024522,      27189,         390,       1527,,       5782,      19490,     199813,      42510,     140971,      16332,         451.3,           6.5,          25.3,,          96.0,         323.5,       3316.7,         705.6,       2340.0,         271.1 
2013,   6044917,      26216,         369,       1679,       2305,       5486,      18056,     189655,      38797,     134514,      16344,         433.7,           6.1,          27.8,          38.1,          90.8,         298.7,       3137.4,         641.8,       2225.2,         270.4 
2014,   6063589,      26856,         403,       1706,       2379,       5592,      18482,     176237,      35258,     124622,      16357,         442.9,           6.6,          28.1,          39.2,          92.2,         304.8,       2906.5,         581.5,       2055.3,         269.8 


		
		,1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as "Forcible" rape.  See UCR Offense Definitions for further information.
		
		,2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.
		
		
		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.

"           Rates are the number of reported offenses per 100,000 population" 

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
