RESPNUM,CCGID,BAREA,GATE,STRATA,CATEGORY,INTDATE,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,MINUTES,Q2PURP1,Q3GETTO1,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q5NOTBUY,Q6NOFOOD,Q7FLYPERYR,SAQ,Q8A_ART,Q8B_FOOD,Q8C_SHOP,Q8D_SIGNS,Q8E_WALK,Q8F_SCREENS,Q8G_INFOARR,Q8H_INFODEP,Q8I_ROAD,Q8J_PARK,Q8K_AIRTRAIN,Q8L_LTPARK,Q8M_RENTAL,Q8N_WHOLE,Q10A_CLNBOARD,Q10B_CLNPARK,Q10C_CLNAIRTRAIN,Q10D_CLNRENT,Q10E_CLNFOOD,Q10F_CLNBATH,Q11SAFE,Q12_USEWEB,Q13_RATEWEB,Q14WHEREDEPART,Q14RATEGETTO,Q15A_FIND,Q15B_SECURITY,Q16_PROBLEM,Q17REGION,Q18ZIP,Q18COUNTRY,HOME,Q19_AGE,Q20_SEX,Q21_INCOME,LANG
3721,3319,F,76,2,2,1,32,6410,12,1,1,8:30,16:46,496,1,9,,2,2,1,2,2,2,2,6,2,6,2,2,2,6,6,3,6,2,6,2,2,3,3,3,3,3,3,3,2,,12,3,2,1,2,3,91307-01-01T00:00:00,US,10,6,1,4,1
3722,3320,F,76,2,2,1,32,6410,12,1,1,16:00,16:46,46,1,2,,2,1,2,2,2,4,2,3,3,3,4,4,4,6,6,4,6,6,6,4,3,4,6,6,4,3,4,4,2,,5,5,5,4,2,3,91504-01-01T00:00:00,US,10,6,1,4,1
3723,3321,F,76,2,2,1,32,6410,12,1,1,15:50,16:46,56,2,3,,2,2,2,2,2,1,2,2,3,3,3,4,4,6,3,6,6,6,6,6,4,4,6,6,6,6,4,3,2,,11,3,5,6,2,4,98271-01-01T00:00:00,US,10,3,2,1,1
3724,3322,F,76,2,2,1,32,6410,12,1,1,14:30,16:46,136,3,3,,0,0,1,2,2,1,2,5,5,5,5,5,5,5,5,0,0,0,0,0,5,5,6,6,0,5,5,5,2,,11,6,0,0,2,4,93063-01-01T00:00:00,US,10,7,2,0,1
3725,3323,F,76,2,2,1,32,6410,12,1,1,14:45,16:46,121,1,9,,2,1,1,2,2,2,2,3,3,4,4,4,2,6,6,4,6,4,6,4,3,3,0,0,0,0,0,4,2,,5,0,3,3,2,3,91324-01-01T00:00:00,US,10,3,2,3,1
3726,1146,D,54,1,2,5,35,350,11,2,3,5:00,6:50,110,1,9,,2,2,1,2,2,3,1,6,5,5,5,5,5,6,6,4,6,4,6,4,5,5,6,5,5,5,5,5,2,,7,5,5,4,2,3,1776-01-01T00:00:00,US,12,5,1,3,1
3727,1147,D,54,1,2,5,35,350,11,2,3,5:50,6:50,60,1,6,,2,2,2,1,2,3,2,4,3,3,4,4,3,2,2,3,3,4,3,6,4,4,3,3,6,4,3,4,2,,3,3,4,4,2,1,94965-01-01T00:00:00,US,6,3,1,1,1
3728,1148,D,54,1,2,5,35,350,11,2,3,5:00,6:50,110,3,5,,1,2,2,1,2,2,2,6,3,2,3,3,3,6,6,3,6,4,6,6,3,5,6,5,6,3,4,5,2,,5,5,4,2,2,3,,US,12,3,2,2,1
3729,1149,D,54,1,2,5,35,350,11,2,3,5:45,6:50,65,3,5,,2,1,1,1,2,3,2,1,4,3,3,3,3,3,3,6,6,6,6,6,3,4,6,6,6,4,3,4,2,,1,3,4,3,2,2,95713-01-01T00:00:00,US,10,2,2,1,1
3730,1150,D,54,1,2,5,35,350,11,2,3,5:45,6:50,65,3,13,,2,2,1,1,2,3,2,5,2,2,4,3,1,1,2,4,2,1,4,1,4,4,4,5,2,4,5,3,2,,3,4,5,3,2,3,2467-01-01T00:00:00,US,12,4,1,4,1
